id;created_by;platform;post_url;campaign_name;post_title;views;likes;shares;comments;clicks;posted_at;created_at;updated_at
7370057c-90e7-43a3-9f31-08df0965d95d;df29fd2b-f8b3-4bc0-890f-a4f62208c03a;instagram;https://www.instagram.com/p/DTUkVqliPmP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;;the website is going to be published;1645;20;4;0;0;2026-01-10 21:01:00+00;2026-01-10 21:02:59.493357+00;2026-01-10 21:02:59.493357+00
8b1c853c-4376-42d5-b2ca-25498ec0900c;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;tiktok;https://www.tiktok.com/@yunixofficial/video/7581798893382307084?is_from_webapp=1&sender_device=pc;;yunix lesson;60;12;1;8;0;2025-12-09 13:12:00+00;2025-12-17 07:29:32.902014+00;2026-01-10 21:07:52.695762+00
54a25597-7ea8-467c-8c8a-d00604722d5f;df29fd2b-f8b3-4bc0-890f-a4f62208c03a;tiktok;https://www.tiktok.com/@yunixofficial/video/7583751358537420088?is_from_webapp=1&sender_device=pc;;first link up with yunix team;413;30;7;1;0;2025-12-14 21:08:00+00;2026-01-10 21:09:27.721302+00;2026-01-10 21:09:27.721302+00
4f95ba75-d13b-409d-bab9-94f4a3e63560;df29fd2b-f8b3-4bc0-890f-a4f62208c03a;tiktok;https://www.tiktok.com/@yunixofficial/video/7584768737442647317?is_from_webapp=1&sender_device=pc;;we are moving with good progress;230;13;6;0;0;2025-12-17 21:09:00+00;2026-01-10 21:10:57.668284+00;2026-01-10 21:10:57.668284+00
75c25d72-f3e7-4320-aeb0-a060d8f45ab4;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;instagram;https://www.instagram.com/reel/DSXg4i2jeK-/?igsh=MTVkc2h4d3YwYzJnaA==;;follow this page;802;10;2;0;0;2025-12-17 19:59:00+00;2025-12-17 19:59:50.781721+00;2025-12-19 18:23:01.288184+00
5209ed0d-76b0-45f6-9fc6-e62da59c9bf4;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;tiktok;https://vt.tiktok.com/ZSP4T6UTX/;;they will not recover from this;464;24;4;0;0;2025-12-18 18:26:00+00;2025-12-19 18:27:45.855287+00;2026-01-10 21:12:00.616081+00
bbfd504f-0cea-40aa-bc08-30b8a2f03c99;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;tiktok;https://www.tiktok.com/@yunixofficial/video/7583751358537420088?is_from_webapp=1&sender_device=pc&web_id=7559307147189880376;;yunix first meeting || it was greate linkup;930;40;7;2;0;2025-12-14 19:28:00+00;2025-12-17 07:31:14.775946+00;2025-12-27 09:29:47.304365+00
ce35317f-21b6-4a67-b540-3d77dde69890;df29fd2b-f8b3-4bc0-890f-a4f62208c03a;tiktok;https://www.tiktok.com/@yunixofficial/photo/7585638739276320056?is_from_webapp=1&sender_device=pc;;excited to share that we hit 2000+ views;245;24;2;0;0;2025-12-19 21:12:00+00;2026-01-10 21:13:51.16478+00;2026-01-10 21:13:51.16478+00
086b1760-14bb-4059-a03d-b02e595a1909;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;tiktok;https://www.tiktok.com/@yunixofficial/video/7586163313487252748?is_from_webapp=1&sender_device=pc&web_id=7559307147189880376;;all the pain will pay off one day... ;285;20;6;0;0;2025-12-21 09:35:00+00;2025-12-27 09:35:53.238145+00;2026-01-10 21:14:50.881705+00
de2d58dd-4fd6-4c86-a5c6-a8a9fef3c2da;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;tiktok;https://www.tiktok.com/@yunixofficial/video/7586927031967943947?is_from_webapp=1&sender_device=pc&web_id=7559307147189880376;;DM for the waitlist. to be published soon;126;9;0;0;0;2025-12-22 09:33:00+00;2025-12-27 09:34:01.495311+00;2026-01-10 21:17:06.978314+00
