id;user_id;prop_firm_id;status;trades_synced;positions_synced;error_message;started_at;completed_at;created_at
11e266d8-6594-4c07-91f9-024338bbc269;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;failed;0;0;"Bridge connection failed: Bridge returned 404: {""error"":""requested path is invalid""}";2026-01-06 06:17:20.061+00;2026-01-06 06:17:20.165+00;2026-01-06 06:17:20.10903+00
9c776634-7c8e-4955-98f0-f18847f424c6;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 06:30:04.825+00;2026-01-06 06:30:05.101+00;2026-01-06 06:30:04.869673+00
c7c8a495-9fbc-4214-9fd7-2f31b3ad956d;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 07:00:03.319+00;2026-01-06 07:00:03.699+00;2026-01-06 07:00:03.383097+00
8c1e3d7e-4566-4e7a-bb2a-92b1a90ce4f3;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 07:30:05.089+00;2026-01-06 07:30:05.227+00;2026-01-06 07:30:05.130916+00
855d001f-f98d-40d1-9670-14375ca2afa0;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 08:00:06.169+00;2026-01-06 08:00:06.326+00;2026-01-06 08:00:06.214752+00
82bf5472-6ce1-42f7-8e74-dc430885b495;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 08:30:05.731+00;2026-01-06 08:30:05.895+00;2026-01-06 08:30:05.755637+00
f481a036-b9ad-49a2-8e97-afbbda4e7fdc;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 09:00:06.788+00;2026-01-06 09:00:08.261+00;2026-01-06 09:00:07.072754+00
b3974816-528a-416d-9e26-61851f2a657c;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 09:30:02.863+00;2026-01-06 09:30:03.173+00;2026-01-06 09:30:02.943916+00
ece483cb-38c5-4e2e-b6ea-60ddf1510fed;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 10:00:03.853+00;2026-01-06 10:00:04.14+00;2026-01-06 10:00:03.883852+00
a74eec66-6aa7-40d9-a882-b2599ebff30b;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 10:30:02.385+00;2026-01-06 10:30:02.839+00;2026-01-06 10:30:02.498479+00
d134fc2a-10dd-4770-9eba-468358f3a342;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 11:00:04.116+00;2026-01-06 11:00:04.549+00;2026-01-06 11:00:04.159826+00
a037f4b5-cbb9-4515-b2b1-e9fd5ad38c22;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 11:30:03.862+00;2026-01-06 11:30:04.161+00;2026-01-06 11:30:03.903665+00
c2144421-8fa1-4c97-a5a3-23a42867e651;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 12:00:02.022+00;2026-01-06 12:00:02.162+00;2026-01-06 12:00:02.051091+00
4d598ed2-d718-4448-bc8e-da8101286e40;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 12:30:04.514+00;2026-01-06 12:30:04.738+00;2026-01-06 12:30:04.536605+00
b5c88203-5885-4d62-bc65-803deea92f0a;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 13:00:06.877+00;2026-01-06 13:00:06.993+00;2026-01-06 13:00:06.899602+00
3e12c47c-f7a2-4980-bf40-2405b78422f5;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;failed;0;0;"Bridge connection failed: Bridge returned 404: {""error"":""requested path is invalid""}";2026-01-06 13:20:16.167+00;2026-01-06 13:20:16.251+00;2026-01-06 13:20:16.193061+00
c34364d8-9ad4-4095-9ae8-a32756cac6e8;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 13:20:43.072+00;2026-01-06 13:20:43.195+00;2026-01-06 13:20:43.094214+00
95a2261d-4b06-4673-bd79-fc8dfc3c524a;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;failed;0;0;"Bridge connection failed: Bridge returned 404: {""error"":""requested path is invalid""}";2026-01-06 13:21:54.72+00;2026-01-06 13:21:54.897+00;2026-01-06 13:21:54.770136+00
8fb7b86c-ced8-4716-bd7b-56540c8681c3;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;failed;0;0;"Bridge connection failed: Bridge returned 404: {""error"":""requested path is invalid""}";2026-01-06 13:21:56.298+00;2026-01-06 13:21:56.403+00;2026-01-06 13:21:56.32332+00
18e2b5c4-ed09-443c-878a-c1d3dd479b15;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;8e475129-b68f-4945-b3cb-d643e1a1e6d3;error;0;0;No password available for account;2026-01-06 13:30:02.83+00;2026-01-06 13:30:03.046+00;2026-01-06 13:30:02.877493+00
