id;user_id;prop_firm_id;pair;profit;session;emotion;notes;trade_date;created_at;updated_at;screenshot_url;screenshots;video_url;cycle_id;trade_type;volume;entry_price;take_profit;stop_loss;close_price;open_time;close_time;mt5_ticket;is_synced;emotion_tag;rule_broken;mistake_tags
53a5fc48-cc98-4c1e-aeb4-1b2f4c2237af;e8fd3f47-f082-479d-b70f-c1f793ff91c8;;XAUUSD;	-50.21;London;;;2026-02-05;2026-02-05 08:21:09.302062+00;2026-02-05 08:21:09.302062+00;;[];;;Sell;0.02;4658.06;200;50;4684.19;;;;false;;false;[]
2c34b1ad-8acf-4d6a-b3e6-4acb0c9220f0;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;7ca3c91b-c00f-4eb4-8c39-ca95dad2f546;EURJPY;	-2.02;New York;;;2026-02-06;2026-02-14 04:58:04.076199+00;2026-02-14 04:58:04.076199+00;;[];;26e6ed27-f0e9-470e-9c41-b0e8e081d94b;sell;0.02;185.43;;;185.58;2026-02-06 20:07:52+00;;;false;;false;[]
e5a49060-15e3-4303-94ba-bb5277569489;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;USDJPY;	-23.09;london;focused;;2025-09-01;2025-10-23 07:36:01.223028+00;2025-10-23 07:36:01.223028+00;;[];;;;;;;;;;;;false;;false;[]
cff179c3-0171-43c0-a11b-dc9e0917d4fc;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;EUR/JPY;29.9;london;calm;;2025-09-03;2025-10-23 07:39:14.410642+00;2025-10-23 07:39:14.410642+00;;[];;;;;;;;;;;;false;;false;[]
ebd09685-15a7-4987-a94b-09a0230f0543;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;GBP/USD;0.26;london;calm;BREAK EVEN;2025-09-03;2025-10-23 07:40:11.109745+00;2025-10-23 07:40:11.109745+00;;[];;;;;;;;;;;;false;;false;[]
8b8da558-dca9-4cf1-bc8c-99d3598b160b;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;USDJPY;	-0.18;london;focused;;2025-09-04;2025-10-23 07:41:00.962072+00;2025-10-23 07:41:00.962072+00;;[];;;;;;;;;;;;false;;false;[]
46be4390-c6ca-418d-9e80-712ba96f13d8;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;GBP/USD;	-0.02;london;focused;;2025-09-05;2025-10-23 07:41:52.017238+00;2025-10-23 07:41:52.017238+00;;[];;;;;;;;;;;;false;;false;[]
534c522c-87d2-4c68-8b62-ab7a27cfd86f;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;GBP/JPY;	-0.23;london;focused;;2025-09-05;2025-10-23 07:42:37.39944+00;2025-10-23 07:42:37.39944+00;;[];;;;;;;;;;;;false;;false;[]
69acabe8-46ad-4310-b16d-ef85ce90e7b5;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;EUR/JPY;103.38;london;Confident;;2025-09-05;2025-10-23 07:44:04.76481+00;2025-10-23 07:44:04.76481+00;;[];;;;;;;;;;;;false;;false;[]
a28c0828-6afe-4a99-a985-19f633fd6f4a;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;GBP/JPY;1.62;london;focused;;2025-09-08;2025-10-23 07:44:52.665279+00;2025-10-23 07:44:52.665279+00;;[];;;;;;;;;;;;false;;false;[]
116984f8-1048-406f-be3c-0258645b967b;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;EURJPY;41.57;london;Confident;;2025-09-09;2025-10-23 07:46:10.593722+00;2025-10-23 07:46:10.593722+00;;[];;;;;;;;;;;;false;;false;[]
49bf7269-291b-45af-9f14-5e43fbb75cd9;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;EUR/JPY;13.02;london;focused;;2025-09-10;2025-10-23 07:46:49.232091+00;2025-10-23 07:46:49.232091+00;;[];;;;;;;;;;;;false;;false;[]
c380458f-a880-419e-9010-338f34d9dce7;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;USD/JPY;	-27.4;london;focused;;2025-10-23;2025-10-23 07:47:12.656846+00;2025-10-23 07:47:12.656846+00;;[];;;;;;;;;;;;false;;false;[]
e10a220f-a11d-478f-8407-ce3a4c8f7ba3;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;GBP/JPY;	-30.09;london;calm;;2025-09-12;2025-10-23 07:48:01.505013+00;2025-10-23 07:48:01.505013+00;;[];;;;;;;;;;;;false;;false;[]
bfe8924b-8ff8-4a8f-908a-4df54e6c7167;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;USD/JPY;	-3.99;london;focused;;2025-09-16;2025-10-23 07:48:49.490742+00;2025-10-23 07:48:49.490742+00;;[];;;;;;;;;;;;false;;false;[]
f8c3240b-537f-4700-a0e6-1e377b50b188;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;EUR/JPY;15.58;london;focused;;2025-09-16;2025-10-23 07:49:22.373208+00;2025-10-23 07:49:22.373208+00;;[];;;;;;;;;;;;false;;false;[]
30a9ba12-0709-4124-9f39-57a24647f10e;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;XAUUSD;	-21.87;london;focused;;2025-09-17;2025-10-23 07:50:58.68531+00;2025-10-23 07:50:58.68531+00;;[];;;;;;;;;;;;false;;false;[]
fba9d9ed-0060-4e07-b12a-4ab87a33802c;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;NZD/JPY;	-13.43;london;focused;;2025-09-18;2025-10-23 07:53:57.944963+00;2025-10-23 07:53:57.944963+00;;[];;;;;;;;;;;;false;;false;[]
9c86e5cd-b5d8-490c-bc62-41cfbf32ee92;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;EUR/JPY;30.99;london;focused;;2025-09-19;2025-10-23 07:54:22.987535+00;2025-10-23 07:54:22.987535+00;;[];;;;;;;;;;;;false;;false;[]
3eaf36ee-2fa0-4889-a47c-5828e05b9b2c;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;GBP/JPY;3.04;london;calm;;2025-09-22;2025-10-23 07:55:26.584627+00;2025-10-23 07:55:26.584627+00;;[];;;;;;;;;;;;false;;false;[]
3c2eec6b-e697-444f-a998-e499c7294e2b;729edbb5-3a37-4b62-b20b-2480dc5c7b2a;e47e084c-e1f6-45f6-aa9e-acd74ebd73bf;AUD/JPY;	-20.31;london;focused;;2025-09-23;2025-10-23 07:56:20.967697+00;2025-10-23 07:56:20.967697+00;;[];;;;;;;;;;;;false;;false;[]
