Date,Pair,Type,Volume,Entry,TP,SL,Close,P&L,Session,Emotion,Prop Firm,Notes
2026-04-14,XAUUSD,sell,0.01,4773.24,,,4789.27,-16.08,London,,UPCOMERS,
2026-04-14,XAUUSD,buy,0.01,4781.41,,,4781.25,0.03,London,,UPCOMERS,
2026-04-14,XAUUSD,sell,0.01,4765.93,,,4781.18,-15.35,Asia,,UPCOMERS,
2026-04-08,XAUUSD,buy,0.01,4767.99,,,4704.73,62.96,New York,,UPCOMERS,
2026-04-08,XAUUSD,sell,0.01,4788.74,,,4787.87,-1.52,New York,,UPCOMERS,
2026-04-07,XAUUSD,sell,0.01,4648.68,,,4623.35,-25.79,London,,UPCOMERS,
2026-04-06,XAUUSD,sell,0.03,4673.64,,,4689.48,-50.58,Asia,,UPCOMERS,
2026-04-06,XAUUSD,buy,0.01,4675.45,,,4674.96,0.41,Asia,,UPCOMERS,
2026-04-01,XAUUSD,buy,0.01,4737.45,,,4757.21,-20.41,New York,,UPCOMERS,
2026-04-01,XAUUSD,sell,0.01,4774.99,,,4782.42,-8.01,New York,,UPCOMERS,
2026-04-01,XAUUSD,buy,0.01,4681.75,,,4687.44,-7.22,Asia,,UPCOMERS,
2026-04-01,XAUUSD,sell,0.01,4730.34,,,4726.89,3.4,,,Fundingpips pro ,
2026-04-01,XAUUSD,sell,0.01,4737.51,,,4760.68,-23.22,,,Fundingpips pro ,
2026-04-01,XAUUSD,sell,0.01,4763.84,,,4778.58,-14.79,,,Fundingpips pro ,
2026-03-27,XAUUSD,sell,0.01,4431.38,,,4418.15,-13.21,London,,UPCOMERS,
2026-03-27,XAUUSD,buy,0.01,4414.37,,,4491.08,74.27,London,,UPCOMERS,
2026-03-26,XAUUSD,sell,0.01,4449.26,,,4423.97,-25.29,Asia,,UPCOMERS,
2026-03-26,XAUUSD,buy,0.01,4433.99,,,4437.11,3.07,,,Fundingpips pro ,
2026-03-25,XAUUSD,buy,0.01,4555.93,,,4548.86,-7,Asia,,UPCOMERS,
2026-03-24,XAUUSD,buy,0.01,4392.13,,,4394.78,2.6,,,Fundingpips pro ,
2026-03-24,XAUUSD,buy,0.01,4407.37,,,4432.95,-25.64,London,,UPCOMERS,
2026-03-23,EURJPY,buy,0.15,183.95,,,183.783,-16.47,,,Fundingpips pro ,
2026-03-23,XAUUSD,buy,0.01,4488.56,,,4480.37,8.14,New York,,UPCOMERS,
2026-03-23,EURJPY,buy,0.1,183.95,,,183.79,-11.1,Asia,,UPCOMERS,
2026-03-20,XAUUSD,buy,0.01,4688.17,,,4661.02,27.31,London,,UPCOMERS,
2026-03-19,EURJPY,sell,0.01,182.599,,,182.681,-0.52,New York,,Fundingpips pro ,
2026-03-19,EURJPY,buy,0.4,183.2,,,183.1,-29.8,Asia,,UPCOMERS,
2026-03-18,XAUUSD,buy,0.01,4884.92,,,4861.63,-23.82,New York,,UPCOMERS,
2026-03-18,XAUUSD,buy,0.01,5008.84,,,4984.6,24.04,Asia,,UPCOMERS,
2026-03-17,XAUUSD,buy,0.04,5033.74,,,5013.49,81,Asia,,UPCOMERS,
2026-03-17,XAUUSD,buy,0.01,5008.87,,,5017.9,-9.09,Asia,,UPCOMERS,
2026-03-17,XAUUSD,buy,0.01,5017.73,,,5004.34,13.8,London,,UPCOMERS,
2026-03-16,XAUUSD,sell,0.01,5007.02,,,4995.28,-11.37,Asia,,UPCOMERS,
2026-03-16,XAUUSD,sell,0.02,5011.92,,,5001.75,-21.66,Asia,,UPCOMERS,
2026-03-16,XAUUSD,buy,0.01,5016.33,,,4999.69,16.64,London,,UPCOMERS,
2026-03-16,EURJPY,sell,0.4,182.37,,,182.38,-3.26,London,,UPCOMERS,
2026-03-13,XAUUSD,buy,0.01,5100.78,,,5097.54,3.19,Asia,,UPCOMERS,
2026-03-13,XAUUSD,buy,0.02,5106.02,,,5081.89,47.94,Asia,,UPCOMERS,
2026-03-12,EURJPY,buy,0.2,183.41,,,183.26,18.01,London,,UPCOMERS,
2026-03-12,XAUUSD,sell,0.06,5176.01,,,5184.16,-50.04,London,,UPCOMERS,
2026-03-11,XAUUSD,sell,0.02,5194.88,,,5194.97,-0.28,Asia,,UPCOMERS,
2026-03-11,XAUUSD,buy,0.02,5187.52,,,5160.55,53.76,London,,UPCOMERS,
